Engine Type of Tugboat,Engine Power of Tugboat(kW),Distance(nautical miles),Towing Speed of Tugboats(meters per second),Tow Type of the vehicle being towed ,Tow Size/weight of the vehicle being towed(tonnes),Wind Speed(meters per second),Current Speed of towed vehicle(meters per second),Wave Height(meters per second),Sea State(Significant Wave Height (SWH)),Water Depth(meters per second),Wind Direction,Maintenance History of the tugboat,Fuel Consumption(Litres),"Pilotage Point(latitude, longitude)","Berthing Point(latitude, longitude)","Waypoints which tugboat has to cover in its route (latitude, longitude)",Traffic (number of vehicles in the route)
Diesel-Electric,1000,2,8.493327604,Ship,5438,17.16220573,0.284925666,2.055808846,3.801103378,9.14090512,E,Average,560.7866552,"(5.078463068216024, -0.8056184970143363)","(-87.38241536076298, 88.14295051474522)","[(-14.926025073100675, 114.31194886957081), (8.812870476405777, -43.70805151034912), (-73.47856593312358, 104.84260732527576), (-32.31592364171005, -179.6758090183409)]",78
Diesel,2000,30,9.764784328,Other,3528,15.35282832,1.793687528,2.061757429,3.537637675,19.17670639,N,Poor,938.6870597,"(-17.747310430088774, -39.90104365574331)","(-28.140195250851946, 25.123660893428223)","[(55.87245383745915, 101.69011676107567), (-40.19792752697022, 28.38114954164064)]",49
Diesel-Electric,1000,39,8.725423211,Other,1272,17.06113099,1.475605258,0.27936304,2.572475235,8.406246044,S,Poor,467.4915052,"(-29.157326407026417, -101.78779604406742)","(58.63383909182588, 114.18374038587643)","[(-12.99839330279535, 158.77082515698203)]",53
Diesel-Electric,2000,9,2.857840753,Barge,6165,11.23388712,0.881916385,1.450192859,1.829507139,16.02792243,SW,Poor,667.9411336,"(-89.0474701068966, -1.254077925568339)","(68.29779927855438, -169.49079391364907)",[],29
Diesel,2000,39,8.867476729,Ship,1034,16.11665047,1.590512737,0.525980553,1.823017423,18.7594003,SE,Poor,795.0631849,"(37.45006916972393, -38.96122868098095)","(-35.53943644533724, 6.061639949990365)","[(-39.45506118487563, -85.46889558966608), (-6.799540091038665, -70.97857954979676)]",64
Diesel-Electric,2000,10,3.817656212,Other,9989,13.08220247,0.4284821,0.069797761,2.550869975,9.921963489,NW,Average,1075.253124,"(-50.1073170410192, 34.99075640737382)","(-30.38317682842269, 176.465202844975)","[(74.70567455476527, 151.25451964806012), (45.58744876466787, 103.09961067028581)]",57
Diesel,1000,42,5.523447729,Ship,7230,11.49408133,0.156608906,1.116202613,3.080501094,12.98434736,NW,Average,954.9848046,"(-64.1045268651111, -69.03536606987312)","(-64.01573387941889, -93.03377891042217)","[(-71.80209591819448, -24.466783385781724), (-26.99641178299236, 58.25489579749299)]",77
Diesel-Electric,1000,34,7.707052307,Ship,6464,13.16062958,0.678700331,1.537798281,1.26952436,14.71866187,E,Poor,908.4397784,"(1.485919624012439, -95.65835898624442)","(-59.079113921721984, 141.6684762456985)","[(9.665453131557058, -131.787952637738)]",42
Diesel-Electric,3000,7,5.211938963,Ship,7381,12.44883188,1.118769277,2.972594131,2.634693705,11.19144901,NE,Good,847.5507182,"(61.98338243074846, 119.32895869072598)","(-41.882839768624734, 154.20610236340292)","[(29.514725151135323, 141.7620813839349)]",39
Diesel,2000,35,6.443206038,Barge,5936,6.975167174,0.267462873,2.975697241,0.400581748,17.29530984,SE,Good,1044.624423,"(67.00409106856168, 160.3290770778235)","(-59.77877653207833, 12.320770283076541)","[(0.5415285867221655, -36.869434378170325), (17.249574887884307, -104.3484063403404)]",79
Diesel-Electric,1000,44,8.764280914,Other,6802,8.720044972,0.854026971,1.014068739,4.053748806,10.33004047,E,Good,1065.82836,"(-31.540525796708565, -85.74565366218468)","(9.097829230218409, -98.98880732874679)","[(85.1624442473377, 146.5334670800097)]",27
Diesel,3000,9,9.57191589,Barge,7977,16.16572278,1.722622029,0.854068201,3.286397207,14.49511375,NW,Good,1056.141729,"(3.9994589425512856, 82.11073076230275)","(-61.04097567722927, 42.4681334191678)","[(-25.983396851210088, 111.86320581900736), (-70.88950629355686, 38.61761494686735), (-25.027927716327554, 16.89735301661409)]",10
Diesel,2000,15,2.595536748,Barge,8387,0.212069122,1.545965467,2.593454449,3.276293527,13.79124724,E,Poor,916.5661025,"(-43.69134800806073, 28.2054225117993)","(-68.04646830400276, 46.59454902822313)","[(-87.6330132980596, -179.10533988468106), (36.652546817819086, 131.15029642458205), (-48.91521240897915, 120.50074843097514), (-41.87114160551576, 149.26973373659837)]",84
Diesel,1000,42,9.439812156,Other,6162,8.94263511,1.462463107,0.069566287,1.085764746,18.01313664,SW,Average,1012.672111,"(-86.07593543074775, -161.38830295733194)","(10.723567113387162, -8.111101931370058)","[(-22.823941048602634, -0.4922956562494676)]",73
Diesel-Electric,2000,45,3.565421823,Ship,4906,13.7684277,1.501687788,1.675388226,1.448054439,17.52573238,E,Poor,811.4879641,"(-80.20231388481342, 113.62945496408747)","(66.00584752846197, -79.6636343935464)","[(-41.43513349980498, 74.5239005810804)]",51
Diesel,2000,31,8.906063348,Barge,8319,11.08102634,1.709619825,0.594362613,2.366060964,9.79053471,NE,Good,1384.075928,"(50.9893244030514, -81.47737968263952)","(79.5026039543173, -135.27823410362123)",[],31
Diesel,2000,44,3.627175611,Ship,8005,0.229490461,1.916419833,0.160861779,0.376505395,13.61967308,E,Poor,1119.691454,"(72.53925652462812, -72.27687556467683)","(-86.9975320817773, 83.3690069171451)","[(-42.25176143531134, -77.68191018891562), (18.902289183192224, 41.9252083432674), (-5.812286980875669, -22.022138302388328), (-30.51699868597587, 110.41773749878524)]",28
Diesel,1000,30,8.827206853,Ship,7368,2.535814079,1.353170415,1.618582751,3.926101583,8.438874448,SW,Average,1001.616206,"(66.70263177673323, -64.94533418070384)","(-57.09285932094838, 16.078485638896552)","[(-36.65569425800677, -101.91888747523213), (-4.101102984786792, 56.00854472148194), (-53.55727368873873, 89.98093348325244), (86.40527106788372, 8.304405562574658)]",25
